n_anchors,room,room_x,room_y,room_z,trajectory,escenario_error,heterogeneo,n_componentes_error,repeat,n_points,n_valid,mean_error_m,rms_error_m,max_error_m,min_error_m,csv_file
3,hab_custom,5,8,3,line,combo_biasn0p02_gausss0p05,False,2,2,60,60,0.042979977977040736,0.04631609349382694,0.08355619303991454,0.007520184181824516,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_gausss0p05_rep2.csv
3,hab_custom,5,8,3,line,combo_biasn0p02_gausss0p05,False,2,3,60,60,0.05603046068995909,0.0605678825634387,0.1604419139205211,0.014320097175927112,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_gausss0p05_rep3.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_gausss0p02,False,2,1,60,60,0.07466839696111684,0.07632705900811489,0.11537914862424245,0.04620955813808789,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_gausss0p02_rep1.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_gausss0p02,False,2,2,60,60,0.07584681794977051,0.07745125427117866,0.10981000590166462,0.04374921728872065,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_gausss0p02_rep2.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_gausss0p02,False,2,3,60,60,0.0810238123708317,0.0842776174711684,0.13575722286355293,0.04196799201856269,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_gausss0p02_rep3.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_gausss0p02,False,2,1,60,60,0.08204728195932404,0.08404641875731386,0.11475477741321602,0.04411348087247676,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_gausss0p02_rep1.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_gausss0p02,False,2,2,60,60,0.08160067721231597,0.08410195163582138,0.12646786887746575,0.04416580342843115,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_gausss0p02_rep2.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_gausss0p02,False,2,3,60,60,0.07961888618380629,0.08185625860835548,0.11554033507529714,0.034161607873954045,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_gausss0p02_rep3.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_gausss0p05,False,2,1,60,60,0.08729380299766168,0.09133269861361176,0.14844713533470538,0.03709785198232748,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_gausss0p05_rep1.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_gausss0p05,False,2,2,60,60,0.10840148962002553,0.11692948857128607,0.267141717752614,0.031543707864180065,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_gausss0p05_rep2.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_gausss0p05,False,2,3,60,60,0.08770929582612944,0.09073034605289655,0.1445799876566605,0.04406388933346301,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_gausss0p05_rep3.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_gausss0p05,False,2,1,60,60,0.08501366028228295,0.08964624755547823,0.18242856852735823,0.04762146484561705,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_gausss0p05_rep1.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_gausss0p05,False,2,2,60,60,0.08092198721476761,0.08749598004482577,0.13331807399803086,0.024856208090930976,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_gausss0p05_rep2.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_gausss0p05,False,2,3,60,60,0.08877062831049544,0.09711661578284721,0.22027198546404975,0.041805243836171145,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_gausss0p05_rep3.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_unifsym0p05,False,2,1,60,60,0.033798913683489716,0.03497901709505008,0.05193725469331133,0.014657412716081586,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_unifsym0p05_rep1.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_unifsym0p05,False,2,2,60,60,0.030772371486641484,0.0325027877439773,0.05430099935454138,0.006445800058608943,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_unifsym0p05_rep2.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_unifsym0p05,False,2,3,60,60,0.035079602187150186,0.03717017486363215,0.06825426043179218,0.014753647483114144,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_unifsym0p05_rep3.csv
3,hab_custom,5,8,3,line,combo_biasn0p02_unifsym0p05,False,2,1,60,60,0.04041159397122569,0.04214156899954907,0.06333578273589732,0.016618467759992095,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_unifsym0p05_rep1.csv
3,hab_custom,5,8,3,line,combo_biasn0p02_unifsym0p05,False,2,2,60,60,0.0322030684900608,0.03431730701425413,0.05575750533301126,0.009351874902477584,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_unifsym0p05_rep2.csv
3,hab_custom,5,8,3,line,combo_biasn0p02_unifsym0p05,False,2,3,60,60,0.03576821520290215,0.037432291479226686,0.05750452069815941,0.012820591094923223,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_unifsym0p05_rep3.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_unifsym0p1,False,2,1,60,60,0.04388384624505327,0.047466657541998365,0.10541137983168518,0.005659745675591767,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_unifsym0p1_rep1.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_unifsym0p1,False,2,2,60,60,0.039879198660340134,0.04361491957019787,0.10523396937444214,0.018885761176517656,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_unifsym0p1_rep2.csv
3,hab_custom,5,8,3,line,combo_biasp0p02_unifsym0p1,False,2,3,60,60,0.04056456862304587,0.04393475518826852,0.10262138232550981,0.009522615705659968,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p02_unifsym0p1_rep3.csv
