n_anchors,escenario_error,error_label,kind,magnitude,magnitude2,mean_error_m,mean_error_std,rms_error_m,max_error_m
4,heter_A1-unifS_A2-gaussN_A3-gauss0_A4-unifN_tag-unifS,unknown,unknown,,,7.583141e-02,1.663709e-02,8.480505e-02,1.820948e-01
4,heter_A1-unifS_A2-unifN_A3-biasP_A4-biasP_tag-none,unknown,unknown,,,8.397633e-02,1.080204e-02,8.625912e-02,1.432797e-01
5,bias_neg_0p02,Bias (−),bias_neg,2.000000e-02,,3.817909e-02,7.654399e-03,4.143860e-02,7.250532e-02
5,bias_neg_0p05,Bias (−),bias_neg,5.000000e-02,,8.907024e-02,3.334910e-02,9.548361e-02,1.444967e-01
5,bias_neg_0p1,Bias (−),bias_neg,1.000000e-01,,1.480991e-01,1.729337e-02,1.520639e-01,2.242586e-01
5,bias_pos_0p02,Bias (+),bias_pos,2.000000e-02,,3.673359e-02,6.664677e-03,3.906636e-02,6.269510e-02
5,bias_pos_0p05,Bias (+),bias_pos,5.000000e-02,,8.599296e-02,2.438792e-02,9.161896e-02,1.458770e-01
5,bias_pos_0p1,Bias (+),bias_pos,1.000000e-01,,1.320191e-01,3.736365e-03,1.334782e-01,1.732558e-01
5,combo_biasn0p02_gausss0p02,Bias (−) + Gaussian,combo_bias_neg_gauss,2.000000e-02,2.000000e-02,3.806218e-02,2.136623e-03,3.993884e-02,6.974586e-02
5,combo_biasn0p02_gausss0p05,Bias (−) + Gaussian,combo_bias_neg_gauss,2.000000e-02,5.000000e-02,5.181108e-02,5.825712e-03,5.683500e-02,1.220213e-01
5,combo_biasn0p05_gausss0p02,Bias (−) + Gaussian,combo_bias_neg_gauss,5.000000e-02,2.000000e-02,8.611335e-02,1.227890e-02,8.985938e-02,1.422140e-01
5,combo_biasn0p05_gausss0p05,Bias (−) + Gaussian,combo_bias_neg_gauss,5.000000e-02,5.000000e-02,9.518536e-02,1.892124e-02,1.031031e-01,1.829827e-01
5,combo_biasn0p02_unifsym0p05,Bias (−) + Uniform,combo_bias_neg_unif,2.000000e-02,5.000000e-02,3.515024e-02,2.723554e-03,3.660505e-02,5.871628e-02
5,combo_biasn0p02_unifsym0p1,Bias (−) + Uniform,combo_bias_neg_unif,2.000000e-02,1.000000e-01,4.771191e-02,1.736843e-02,5.719970e-02,1.400783e-01
5,combo_biasn0p05_unifsym0p05,Bias (−) + Uniform,combo_bias_neg_unif,5.000000e-02,5.000000e-02,8.177371e-02,7.020647e-03,8.371762e-02,1.187666e-01
5,combo_biasn0p05_unifsym0p1,Bias (−) + Uniform,combo_bias_neg_unif,5.000000e-02,1.000000e-01,8.970613e-02,1.055455e-02,9.339253e-02,1.490495e-01
5,combo_biasp0p02_gausss0p02,Bias (+) + Gaussian,combo_bias_pos_gauss,2.000000e-02,2.000000e-02,3.851823e-02,6.441130e-03,4.092683e-02,7.514198e-02
5,combo_biasp0p02_gausss0p05,Bias (+) + Gaussian,combo_bias_pos_gauss,2.000000e-02,5.000000e-02,5.434483e-02,1.294960e-02,6.384015e-02,1.514356e-01
5,combo_biasp0p05_gausss0p02,Bias (+) + Gaussian,combo_bias_pos_gauss,5.000000e-02,2.000000e-02,8.450264e-02,6.419243e-03,8.685824e-02,1.305455e-01
5,combo_biasp0p05_gausss0p05,Bias (+) + Gaussian,combo_bias_pos_gauss,5.000000e-02,5.000000e-02,8.933101e-02,8.257161e-03,9.297368e-02,1.508292e-01
5,combo_biasp0p02_unifsym0p05,Bias (+) + Uniform,combo_bias_pos_unif,2.000000e-02,5.000000e-02,3.557929e-02,2.109040e-03,3.699412e-02,5.949328e-02
5,combo_biasp0p02_unifsym0p1,Bias (+) + Uniform,combo_bias_pos_unif,2.000000e-02,1.000000e-01,4.079563e-02,4.070608e-03,4.414657e-02,9.085786e-02
5,combo_biasp0p05_unifsym0p05,Bias (+) + Uniform,combo_bias_pos_unif,5.000000e-02,5.000000e-02,8.421767e-02,9.223999e-03,8.722782e-02,1.327907e-01
5,combo_biasp0p05_unifsym0p1,Bias (+) + Uniform,combo_bias_pos_unif,5.000000e-02,1.000000e-01,8.817827e-02,4.589611e-03,9.100265e-02,1.394005e-01
5,combo_gausss0p02_unifsym0p05,Gaussian + Uniform,combo_gauss_unif,2.000000e-02,5.000000e-02,2.409964e-02,7.398175e-03,2.825194e-02,7.167286e-02
5,combo_gausss0p02_unifsym0p1,Gaussian + Uniform,combo_gauss_unif,2.000000e-02,1.000000e-01,3.009081e-02,4.742031e-03,3.552673e-02,9.169293e-02
5,combo_gausss0p05_unifsym0p05,Gaussian + Uniform,combo_gauss_unif,5.000000e-02,5.000000e-02,3.999276e-02,4.720078e-03,4.632709e-02,1.198798e-01
5,combo_gausss0p05_unifsym0p1,Gaussian + Uniform,combo_gauss_unif,5.000000e-02,1.000000e-01,4.729128e-02,1.193351e-02,5.900645e-02,1.531365e-01
5,gauss_s0p02,Gaussian noise,gauss,2.000000e-02,,1.871204e-02,1.668121e-03,2.080397e-02,4.885420e-02
5,gauss_s0p05,Gaussian noise,gauss,5.000000e-02,,3.932640e-02,4.853125e-03,4.688115e-02,1.211489e-01
5,gauss_s0p1,Gaussian noise,gauss,1.000000e-01,,8.851032e-02,6.257503e-02,1.168781e-01,2.904254e-01
5,sin_error,No error,none,,,3.322761e-17,4.153096e-17,8.267242e-17,4.248758e-16
5,unif_neg_0p05,Uniform noise (negative only),unif_neg,5.000000e-02,,4.309120e-02,3.412022e-03,4.459652e-02,6.726244e-02
5,unif_neg_0p1,Uniform noise (negative only),unif_neg,1.000000e-01,,8.593962e-02,8.212142e-03,8.850780e-02,1.354371e-01
5,unif_neg_0p2,Uniform noise (negative only),unif_neg,2.000000e-01,,1.780189e-01,4.018325e-02,1.874621e-01,2.922331e-01
5,unif_pos_0p05,Uniform noise (positive only),unif_pos,5.000000e-02,,4.314873e-02,1.875764e-03,4.446118e-02,6.791463e-02
5,unif_pos_0p1,Uniform noise (positive only),unif_pos,1.000000e-01,,8.917165e-02,7.636718e-03,9.316398e-02,1.542253e-01
5,unif_pos_0p2,Uniform noise (positive only),unif_pos,2.000000e-01,,1.735768e-01,1.289287e-02,1.777592e-01,2.721612e-01
5,unif_sym_0p05,Uniform noise (symmetric),unif_sym,5.000000e-02,,1.482068e-02,1.054388e-03,1.625627e-02,3.472881e-02
5,unif_sym_0p1,Uniform noise (symmetric),unif_sym,1.000000e-01,,2.839587e-02,6.879832e-03,3.369080e-02,8.689211e-02
5,unif_sym_0p2,Uniform noise (symmetric),unif_sym,2.000000e-01,,4.942575e-02,8.414514e-03,5.903232e-02,1.489236e-01
5,heter_A1-biasN_A2-biasP_A3-gaussN_A4-none_A5-unifN_tag-biasN,unknown,unknown,,,1.718091e-01,4.753237e-02,1.845190e-01,3.430953e-01
5,heter_A1-biasN_A2-biasP_A3-none_A4-gauss0_A5-gauss0_tag-gauss0,unknown,unknown,,,7.367470e-02,3.078389e-02,8.879786e-02,2.157320e-01
5,heter_A1-biasN_A2-gauss0_A3-unifP_A4-gauss0_A5-gaussN_tag-unifP,unknown,unknown,,,1.281169e-01,1.074205e-02,1.327948e-01,2.131326e-01
5,heter_A1-biasN_A2-gauss0_A3-unifP_A4-unifP_A5-gauss0_tag-none,unknown,unknown,,,1.174121e-01,2.090049e-02,1.269118e-01,2.326702e-01
5,heter_A1-biasN_A2-unifS_A3-unifN_A4-unifS_A5-gaussP_tag-unifN,unknown,unknown,,,1.130314e-01,9.022241e-03,1.151089e-01,1.608716e-01
5,heter_A1-biasP_A2-biasN_A3-gaussN_A4-unifP_A5-unifP_tag-unifP,unknown,unknown,,,1.112809e-01,1.818967e-02,1.164358e-01,2.021883e-01
5,heter_A1-biasP_A2-biasP_A3-unifP_A4-unifP_A5-unifP_tag-gauss0,unknown,unknown,,,8.988883e-02,8.596524e-03,9.348567e-02,1.590249e-01
5,heter_A1-biasP_A2-gaussP_A3-gauss0_A4-gaussP_A5-gauss0_tag-unifP,unknown,unknown,,,1.338488e-01,1.956904e-02,1.391095e-01,2.253701e-01
5,heter_A1-biasP_A2-gaussP_A3-unifS_A4-unifN_A5-unifN_tag-gauss0,unknown,unknown,,,8.750514e-02,1.407741e-02,9.460797e-02,1.920842e-01
5,heter_A1-biasP_A2-none_A3-unifN_A4-unifP_A5-gauss0_tag-gaussP,unknown,unknown,,,9.070862e-02,1.239540e-02,9.717110e-02,1.880620e-01
5,heter_A1-biasP_A2-none_A3-unifN_A4-unifS_A5-gaussN_tag-biasP,unknown,unknown,,,1.290766e-01,1.417047e-02,1.354317e-01,2.182875e-01
5,heter_A1-biasP_A2-unifN_A3-unifS_A4-gaussP_A5-unifP_tag-biasP,unknown,unknown,,,1.444785e-01,2.644031e-02,1.533963e-01,2.591231e-01
5,heter_A1-biasP_A2-unifP_A3-none_A4-unifS_A5-gauss0_tag-biasP,unknown,unknown,,,1.287647e-01,7.669119e-03,1.308647e-01,1.799258e-01
5,heter_A1-biasP_A2-unifP_A3-unifS_A4-gauss0_A5-gaussP_tag-none,unknown,unknown,,,7.105329e-02,5.545589e-03,7.387478e-02,1.426205e-01
5,heter_A1-gauss0_A2-biasP_A3-biasN_A4-gaussP_A5-none_tag-none,unknown,unknown,,,1.645551e-01,7.598900e-02,2.043571e-01,4.707016e-01
5,heter_A1-gauss0_A2-biasP_A3-gaussN_A4-gaussN_A5-none_tag-none,unknown,unknown,,,7.194635e-02,6.353091e-03,7.596890e-02,1.414563e-01
5,heter_A1-gauss0_A2-gaussN_A3-unifS_A4-unifP_A5-gaussP_tag-unifP,unknown,unknown,,,1.182504e-01,8.109490e-03,1.206713e-01,1.732297e-01
5,heter_A1-gauss0_A2-unifP_A3-gaussN_A4-unifS_A5-unifS_tag-none,unknown,unknown,,,4.890885e-02,5.639895e-03,5.446943e-02,1.218469e-01
5,heter_A1-gaussN_A2-biasN_A3-gauss0_A4-biasN_A5-none_tag-unifP,unknown,unknown,,,5.300542e-02,2.723866e-02,6.513704e-02,1.681268e-01
5,heter_A1-gaussN_A2-biasN_A3-unifS_A4-biasP_A5-gauss0_tag-unifS,unknown,unknown,,,8.269213e-02,7.186979e-03,8.835221e-02,1.718366e-01
5,heter_A1-gaussN_A2-biasP_A3-unifS_A4-none_A5-unifP_tag-biasN,unknown,unknown,,,8.971498e-02,1.421578e-02,9.527807e-02,1.657203e-01
5,heter_A1-gaussN_A2-gaussN_A3-gaussN_A4-biasP_A5-unifN_tag-gauss0,unknown,unknown,,,9.224156e-02,2.125948e-02,1.005631e-01,2.069687e-01
5,heter_A1-gaussP_A2-biasN_A3-unifN_A4-gauss0_A5-gaussP_tag-biasN,unknown,unknown,,,1.547752e-01,1.064667e-02,1.576638e-01,2.225074e-01
5,heter_A1-gaussP_A2-biasP_A3-biasN_A4-gaussN_A5-gauss0_tag-gaussN,unknown,unknown,,,1.189086e-01,1.514897e-02,1.262049e-01,2.230646e-01
5,heter_A1-gaussP_A2-biasP_A3-none_A4-unifP_A5-unifN_tag-gauss0,unknown,unknown,,,6.918543e-02,1.403616e-02,7.660989e-02,1.658066e-01
